Paper;Ground Truth
2023/3581512.html;F
2023/3580862.html;T
2023/3581386.html;F
2023/3580718.html;F
2023/3580754.html;F
2023/3581146.html;F
2023/3580985.html;T
2023/3581159.html;T
2023/3581290.html;F
2023/3581060.html;F
2023/3581168.html;F
2023/3580716.html;F
2023/3581404.html;F
2023/3581432.html;T
2023/3581568.html;F
2023/3580848.html;T
2023/3580909.html;F
2023/3580986.html;T
2023/3581339.html;T
2023/3581348.html;T
2023/3580984.html;F
2023/3581371.html;T
2023/3581499.html;F
2023/3580722.html;F
2023/3581295.html;T
2023/3580710.html;F
2023/3581245.html;F
2023/3580735.html;F
2023/3580768.html;F
